assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,0,192895,None,,0,0,-1,1,0.0,608,241,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Kieran,0.0,561,227,0,0,0,0.0,625,241,24,False,0.0,620,241,0,Season long loan to Real Sociedad,2023-08-29T07:46:59.686803Z,44,507,99,0,0,None,0,,192895.jpg,0.0,633,240,0,0,0,Tierney,0.1,416,163,False,None,0,0,u,1,3,0.0,590,238,0,2665,0,28468,32,0.0,0.0,Tierney,0
1,3,147,0,0,3,0.43,223723,None,,0,0,0,0,67.8,262,83,None,,1,2,0.0,0.0,1,0.41,0.06,0.89,0.13,0.48,7.25,1.04,0.07,Takehiro,0.2,387,138,5,0.72,1,26.2,289,98,25,False,139.6,266,105,628,International Duty - Unknown return date,2023-12-02T18:30:08.259180Z,45,386,73,0,0,None,0,,223723.jpg,3.0,145,39,1,0,0.0,Tomiyasu,0.3,289,112,False,None,5,0.72,i,1,3,57.0,250,72,39,79329,230,85218,906,0.0,8.7,Tomiyasu,0
1,6,129,100,100,2,0.27,116216,2,,0,0,-5,5,200.8,101,73,None,,2,3,1.7,1.7,1,1.54,0.21,4.60,0.63,3.06,6.20,0.85,0.42,Leandro,1.2,269,120,6,0.82,3,67.5,106,69,26,False,182.2,226,92,657,,2023-10-09T08:30:07.911344Z,65,46,27,0,0,None,0,,116216.jpg,2.9,159,74,0,0,0.0,Trossard,1.7,146,47,False,None,6,0.82,a,1,3,293.0,61,37,47,295224,668,674905,3970,0.2,7.2,Trossard,0
2,7,343,100,100,6,0.37,198869,None,,0,0,1,-1,272.8,62,12,None,,2,2,2.8,2.8,1,1.91,0.12,2.62,0.16,0.71,14.58,0.89,0.04,Benjamin,2.3,151,42,19,1.16,1,71.5,91,12,29,False,339.8,74,23,1475,,2023-11-12T02:00:08.673390Z,56,92,7,0,0,None,0,,198869.jpg,3.6,83,16,0,0,0.0,White,10.9,35,12,False,None,17,1.04,a,1,3,103.0,176,33,69,1338380,15344,1240799,21394,0.4,12.3,White,4
0,0,0,0,0,0,0,84450,None,,0,0,0,0,0.0,764,334,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Granit,0.0,752,327,0,0,0,0.0,764,334,30,False,0.0,764,334,0,Transferred to Bayer Leverkusen,2023-07-11T08:41:07.159936Z,60,61,38,0,0,None,0,,84450.jpg,0.0,764,334,0,0,0,Xhaka,0.0,679,273,False,None,0,0,u,1,3,0.0,764,334,0,0,0,1209,2,0.0,0.0,Xhaka,0
1,11,320,75,None,6,0.45,206325,None,,0,0,2,-2,310.9,52,8,None,,2,2,2.0,2.7,0,2.15,0.16,2.58,0.19,0.43,10.00,0.75,0.03,Oleksandr,2.2,165,49,11,0.82,1,67.7,104,17,31,False,270.6,129,50,1202,Calf injury - 75% chance of playing,2023-12-31T22:00:10.846948Z,52,158,16,0,0,None,0,,206325.jpg,3.9,56,10,0,0,0.0,Zinchenko,13.0,29,10,False,None,14,1.05,d,1,3,96.0,185,37,71,1445431,16222,824397,85903,0.4,13.7,Zinchenko,2
0,2,253,100,100,5,0.33,154561,None,,0,0,-1,1,0.0,728,84,None,,0,1,3.5,3.5,1,0.02,0.0,0.02,0.0,0.00,12.00,0.8,0.0,David,3.0,90,9,16,1.07,0,22.4,316,21,113,False,224.8,171,21,1350,,2023-11-13T01:00:08.923385Z,49,226,8,0,0,None,1,,154561.jpg,3.7,73,8,0,23,1.53,Raya Martin,6.1,59,12,False,None,15,1.0,a,1,3,0.0,725,82,55,719885,20875,625794,14771,0.6,11.2,Raya,0
1,7,356,100,100,7,0.36,204480,None,,0,0,-1,1,273.1,61,47,4,,1,3,3.5,3.5,2,1.19,0.06,2.74,0.14,1.55,16.13,0.83,0.08,Declan,3.0,94,52,19,0.98,3,89.5,59,42,540,False,451.6,31,11,1743,,2023-09-24T22:30:08.321972Z,54,119,73,0,0,None,0,,204480.jpg,3.5,95,48,0,0,0.0,Rice,5.2,77,24,False,None,20,1.03,a,1,3,170.0,119,76,69,476996,3782,621805,14096,0.6,12.8,Rice,2
0,0,26,100,100,0,0.0,200641,None,,0,0,-2,2,41.2,325,172,None,,0,3,1.0,1.0,1,0.33,0.29,0.37,0.33,0.04,1.71,1.51,0.04,Reiss,0.5,338,155,0,0.0,0,7.4,406,187,578,False,20.6,422,190,102,,2023-08-07T15:30:06.067296Z,48,287,187,0,0,None,0,,200641.jpg,0.9,479,225,0,0,0.0,Nelson,0.0,545,196,False,None,0,0.0,a,1,3,13.0,386,194,8,6252,21,7488,44,0.1,1.7,Nelson,1
0,0,3,0,0,0,0.0,445122,None,,0,0,-4,4,2.4,425,156,None,,0,2,0.0,0.0,0,0.01,0.02,0.01,0.02,0.00,0.28,0.51,0.0,Jurriën,0.0,674,241,0,0.0,0,0.6,470,167,585,False,3.6,465,168,49,Knee injury - Unknown return date,2023-08-12T18:00:07.121160Z,46,345,48,0,0,None,0,,445122.jpg,0.0,722,248,0,0,0.0,Timber,0.4,242,93,False,None,1,1.84,i,1,3,0.0,711,248,0,12149,62,478685,161,0.0,0.0,J.Timber,1
