ID,Name,Full Name,Position,Team,Price,Selected %
558,Matete,Jay Matete,MID,17,4.3,0.2
559,Triantis,Nectarios Triantis,MID,17,4.4,0.0
560,Isidor,Wilson Isidor,FWD,17,5.0,1.3
561,Mayenda,Eliezer Mayenda Dossou,FWD,17,5.1,0.5
562,Abdullahi,Ahmed Abdullahi,FWD,17,4.2,0.4
563,Luís Hemir,Luís Hemir Silva Semedo,FWD,17,4.4,0.1
564,Rusyn,Nazarii Rusyn,FWD,17,4.4,0.1
565,Vicario,Guglielmo Vicario,GK,18,4.7,4.7
566,Austin,Brandon Austin,GK,18,3.9,0.3
567,Kinsky,Antonín Kinský,GK,18,3.9,1.9
568,Pedro Porro,Pedro Porro Sauceda,DEF,18,5.2,11.7
569,Romero,Cristian Romero,DEF,18,5.0,2.9
570,Danso,Kevin Danso,DEF,18,4.2,0.2
571,Davies,Ben Davies,DEF,18,4.3,0.1
572,Dragusin,Radu Drăgușin,DEF,18,4.5,0.0
573,Spence,Djed Spence,DEF,18,4.1,0.9
574,Udogie,Destiny Udogie,DEF,18,4.3,0.3
575,Van de Ven,Micky van de Ven,DEF,18,4.4,17.6
576,Phillips,Ashley Phillips,DEF,18,4.0,0.0
577,Takai,Takai Kōta,DEF,18,4.0,0.0
578,Vuskovic,Luka Vušković,DEF,18,3.9,0.3
579,Son,Son Heung-min,MID,18,8.5,0.1
580,Johnson,Brennan Johnson,MID,8,6.5,2.4
581,Maddison,James Maddison,MID,18,6.8,0.3
582,Kudus,Mohammed Kudus,MID,18,6.4,9.1
583,Kulusevski,Dejan Kulusevski,MID,18,6.4,0.0
584,Tel,Mathys Tel,MID,18,6.2,0.5
585,Bentancur,Rodrigo Bentancur,MID,18,5.2,0.2
586,Bergvall,Lucas Bergvall,MID,18,5.2,0.2
587,Bissouma,Yves Bissouma,MID,18,5.2,0.0
588,Odobert,Wilson Odobert,MID,18,5.3,0.0
589,Solomon,Manor Solomon,MID,18,5.4,0.0
590,Bryan,Bryan Gil Salvatierra,MID,18,4.9,0.0
591,Gray,Archie Gray,MID,18,4.8,0.1
592,Moore,Mikey Moore,MID,18,5.0,0.0
593,P.M.Sarr,Pape Matar Sarr,MID,18,4.5,1.0
594,Min-hyeok,Yang Min-hyeok,MID,18,4.5,0.0
595,Olusesi,Callum Olusesi,MID,18,4.3,0.2
596,Solanke,Dominic Solanke-Mitchell,FWD,18,7.1,1.1
597,Richarlison,Richarlison de Andrade,FWD,18,6.5,8.7
598,Lankshear,Will Lankshear,FWD,18,4.5,0.0
599,Scarlett,Dane Scarlett,FWD,18,4.3,0.5
600,Areola,Alphonse Areola,GK,19,4.2,1.9
601,Foderingham,Wes Foderingham,GK,19,4.0,0.2
602,Hegyi,Krisztián Hegyi,GK,19,3.9,0.2
603,Diouf,El Hadji Malick Diouf,DEF,19,4.1,2.4
604,Emerson,Emerson Palmieri dos Santos,DEF,19,4.4,0.0
605,Kilman,Maximilian Kilman,DEF,19,4.0,0.1
606,Mavropanos,Konstantinos Mavropanos,DEF,19,4.5,2.6
607,N.Aguerd,Nayef Aguerd,DEF,19,4.4,0.0
608,Scarles,Ollie Scarles,DEF,19,4.3,0.0
609,Todibo,Jean-Clair Todibo,DEF,19,4.3,0.1
610,Wan-Bissaka,Aaron Wan-Bissaka,DEF,19,4.1,4.3
611,Casey,Kaelan Casey,DEF,19,4.0,0.1
612,L.Paquetá,Lucas Tolentino Coelho de Lima,MID,19,5.9,1.0
613,Souček,Tomáš Souček,MID,19,5.7,0.5
614,Ward-Prowse,James Ward-Prowse,MID,3,5.6,0.2
615,Summerville,Crysencio Summerville,MID,19,5.4,1.6
616,Álvarez,Edson Álvarez Velázquez,MID,19,4.9,0.0
617,Cornet,Maxwel Cornet,MID,19,4.9,0.0
618,G.Rodriguez,Guido Rodríguez,MID,19,4.8,0.0
