name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Matija Šarkić,GK,Nott'm Forest,0.0,0,0,0,0,0.0,492,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,14,0,0,0,0,2,0,740,0,0,2,0.0,0,-180,86,266,55,True,0
Yan Valery,DEF,Crystal Palace,-0.5,0,0,0,0,0.0,414,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,13,0,0,0,0,2,0,5581,0,0,1,0.0,0,-511,343,854,45,False,0
Ryan Yates,MID,West Ham,0.5,0,0,0,0,0.0,387,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,18,0,0,0,0,2,0,43953,0,0,2,0.0,0,-8272,1457,9729,45,False,0
Stuart Dallas,DEF,Aston Villa,2.0,0,0,14,0,22.9,226,0.15,0.40,0.25,2.00,12,1,0,5.5,9.2,2023-08-21T19:00:00Z,90,1,0,0,0,0,2,0,1335065,1,1,0,23.0,2,-155238,27372,182610,65,True,0
James Maddison,MID,Leicester,2.0,0,0,14,0,3.5,261,0.02,0.02,0.00,3.11,11,4,0,1.0,6.0,2023-08-20T13:00:00Z,90,2,0,0,0,0,2,0,22932,1,0,4,0.0,2,-1450,1310,2760,50,False,0
Paul Dummett,DEF,Liverpool,1.0,0,0,0,0,0.0,362,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,15,0,0,0,0,2,0,20208,0,0,1,0.0,0,2590,5670,3080,50,True,0
Timothy Castagne,DEF,Leicester,1.5,0,0,-1,0,1.6,258,0.02,0.17,0.15,0.98,11,2,0,2.4,3.0,2023-08-20T13:00:00Z,39,2,0,0,0,0,2,0,113529,0,0,4,19.0,1,-323,14343,14666,50,False,0
Gavin Bazunu,GK,Crystal Palace,0.0,0,0,0,0,0.0,422,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,13,0,0,0,0,2,0,4344,0,0,1,0.0,0,-1201,102,1303,40,False,0
Bobby Clark,MID,Arsenal,3.0,0,0,22,1,0.7,584,0.00,0.00,0.00,0.68,11,0,0,1.2,11.4,2023-08-20T13:00:00Z,90,9,0,0,0,0,2,0,239720,1,0,4,0.0,6,505,17942,17437,45,True,0
Mohamed Dräger,DEF,West Ham,1.0,0,0,0,0,0.0,386,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,18,0,0,0,0,2,0,16412,0,0,2,0.0,0,-1042,762,1804,45,False,0
Lewis Brunt,DEF,Brentford,0.0,0,0,0,0,0.0,273,0.00,0.00,0.00,0.00,13,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,4,0,0,0,0,2,0,8688,0,3,0,0.0,0,-755,366,1121,45,True,0
Scott Carson,GK,Nott'm Forest,-0.5,0,0,0,0,0.0,502,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,14,0,0,0,0,2,0,67615,0,0,2,0.0,0,-8495,2672,11167,50,True,0
Alex McCarthy,GK,West Ham,7.0,0,0,11,0,12.2,401,0.10,0.10,0.00,1.25,18,1,0,2.0,5.8,2023-08-19T16:30:00Z,65,18,0,0,0,0,2,0,382753,1,0,2,2.0,1,159885,174411,14526,45,False,1
Sam Surridge,FWD,West Ham,0.0,0,0,12,0,11.5,391,0.01,0.01,0.00,1.80,18,2,0,2.5,13.6,2023-08-19T16:30:00Z,90,18,1,0,0,0,2,0,608208,1,0,2,0.0,-1,-62517,24614,87131,50,False,0
Neal Maupay,FWD,Man Utd,2.5,0,0,11,1,1.3,110,0.02,0.04,0.02,0.36,13,0,0,2.4,12.8,2023-08-19T14:00:00Z,78,10,0,0,0,0,2,0,13733,1,3,0,10.0,3,-604,867,1471,55,False,0
Tyrell Malacia,DEF,Nott'm Forest,5.5,0,0,12,1,41.9,504,0.25,0.35,0.10,1.99,18,0,0,9.0,16.4,2023-08-19T16:30:00Z,90,14,0,0,0,0,2,0,1343823,1,0,2,32.0,3,227659,275119,47460,75,True,0
Diogo Teixeira da Silva,FWD,Brentford,2.5,0,0,8,0,20.8,288,0.14,0.19,0.05,3.80,13,3,0,5.8,11.0,2023-08-19T14:00:00Z,90,4,0,0,0,0,2,0,20686,1,3,0,26.0,2,1268,3379,2111,55,True,0
Jaden Philogene-Bidace,MID,Arsenal,0.0,0,0,0,0,0.0,55,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2023-08-20T13:00:00Z,0,9,0,0,0,0,2,0,9744,0,0,4,0.0,0,-3793,95,3888,60,True,0
Kyle John,DEF,Man City,0.5,0,0,0,0,0.0,637,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,17,0,0,0,0,2,0,8807,0,1,2,0.0,0,73,713,640,40,True,0
Dejan Kulusevski,MID,Man City,0.5,0,0,0,0,0.0,446,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,17,0,0,0,0,2,0,2439,0,1,2,0.0,0,-390,46,436,50,True,0
Keane Lewis-Potter,MID,Nott'm Forest,0.0,0,0,0,0,0.0,515,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,14,0,0,0,0,2,0,18822,0,0,2,0.0,0,-2806,926,3732,50,True,0
Moisés Caicedo Corozo,MID,Man Utd,0.0,0,0,0,0,0.0,120,0.00,0.00,0.00,0.00,13,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,10,0,0,0,0,2,0,71847,0,3,0,0.0,0,-3265,5809,9074,45,False,0
Mads Roerslev Rasmussen,DEF,Man Utd,2.5,1,0,15,0,10.4,90,0.55,0.70,0.15,0.02,13,0,0,3.5,17.4,2023-08-19T14:00:00Z,1,10,0,0,0,0,2,0,29542,0,3,0,7.0,4,1905,4182,2277,45,False,0
Sven Botman,DEF,West Ham,1.0,0,0,4,0,2.2,377,0.01,0.01,0.00,0.55,18,1,0,1.1,6.6,2023-08-19T16:30:00Z,24,18,0,0,0,0,2,0,146811,0,0,2,2.0,1,-32377,4362,36739,50,False,0
Andreas Hoelgebaum Pereira,MID,Liverpool,0.5,0,0,0,0,0.0,346,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,15,0,0,0,0,2,0,256973,0,0,1,0.0,0,-81157,8051,89208,59,True,0
Shane Duffy,DEF,Man Utd,2.5,0,0,11,1,14.4,105,0.15,0.15,0.00,0.46,13,0,0,2.6,7.8,2023-08-19T14:00:00Z,90,10,0,0,0,0,2,0,7750,1,3,0,4.0,3,-283,783,1066,55,False,0
Yegor Yarmolyuk,MID,Leicester,0.5,0,0,3,0,0.0,650,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2023-08-20T13:00:00Z,1,2,0,0,0,0,2,0,567,0,0,4,0.0,1,157,190,33,45,False,0
Thiago Emiliano da Silva,DEF,Fulham,2.0,0,0,4,0,12.8,128,0.02,0.02,0.00,0.18,20,0,0,1.9,5.8,2023-08-19T14:00:00Z,9,20,0,0,0,0,2,0,16050,0,4,1,0.0,1,582,2532,1950,50,False,0
Gabriel Fernando de Jesus,FWD,Man City,2.5,0,0,13,0,0.0,28,0.00,0.00,0.00,0.51,17,1,0,1.6,16.4,2023-08-18T18:45:00Z,90,17,0,0,0,0,2,2,1351022,1,1,2,0.0,2,79630,94815,15185,40,True,0
Christian Pulisic,MID,Fulham,12.0,0,3,47,0,16.9,140,0.14,1.01,0.87,2.06,20,1,2,17.4,90.8,2023-08-19T14:00:00Z,90,20,0,0,0,0,2,0,375722,1,4,1,66.0,15,90014,107393,17379,65,False,0
Romain Perraud,DEF,Crystal Palace,0.0,0,0,0,0,0.0,417,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,13,0,0,0,0,2,0,1239,0,0,1,0.0,0,-430,32,462,45,False,0
Emile Smith Rowe,MID,Everton,4.5,0,0,4,1,7.3,12,0.04,0.15,0.11,0.34,12,0,0,2.4,0.0,2023-08-21T19:00:00Z,69,8,0,0,0,0,2,0,1416545,1,1,0,17.0,3,66471,122756,56285,80,False,0
Fin Stevens,DEF,Everton,3.0,0,0,20,1,19.0,540,0.23,0.23,0.00,1.06,12,0,0,4.4,22.8,2023-08-21T19:00:00Z,90,8,0,0,0,0,2,0,551259,1,1,0,2.0,3,-35250,28690,63940,55,False,0
Luke Cundle,MID,Bournemouth,-0.4,0,0,0,0,0.0,485,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,16,0,0,0,0,2,0,4078,0,1,2,0.0,0,-1074,155,1229,55,False,0
Ilkay Gündogan,MID,Brighton,0.2,0,0,0,0,0.0,300,0.00,0.00,0.00,0.00,14,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,3,0,0,0,0,2,0,11824,0,1,3,0.0,0,-1302,547,1849,50,True,0
Harvey Griffiths,MID,Aston Villa,-0.5,0,0,0,0,0.0,658,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,1,0,0,0,0,2,0,6724,0,1,0,0.0,0,2562,3054,492,45,True,0
Tino Livramento,DEF,Crystal Palace,-0.5,0,0,0,0,0.0,419,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,13,0,0,0,0,2,0,38919,0,0,1,0.0,0,-2799,1620,4419,40,False,0
Trent Alexander-Arnold,DEF,Brentford,3.0,0,0,19,0,3.5,285,0.07,0.07,0.00,2.54,13,2,0,1.9,15.4,2023-08-19T14:00:00Z,85,4,0,0,0,0,2,0,62758,1,3,0,0.0,1,3145,5892,2747,45,True,0
Emiliano Marcondes,MID,Newcastle,1.5,0,0,5,0,3.8,63,0.07,0.48,0.41,3.08,14,3,0,2.7,15.8,2023-08-19T14:00:00Z,90,11,0,0,0,0,2,0,62779,1,1,3,7.0,2,-8971,1980,10951,55,False,0
Levi Colwill,DEF,Wolves,1.5,0,0,4,0,5.8,559,0.04,0.09,0.05,1.95,20,4,0,1.3,4.8,2023-08-19T14:00:00Z,54,5,0,0,0,0,2,0,6503,1,4,1,2.0,1,478,1157,679,50,True,0
Edouard Mendy,GK,Fulham,0.0,0,0,0,0,0.0,147,0.00,0.00,0.00,0.00,20,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,20,0,0,0,0,2,0,93,0,4,1,0.0,0,-13,0,13,40,False,0
Alex Oxlade-Chamberlain,MID,Brentford,0.0,0,0,0,0,0.0,278,0.00,0.00,0.00,0.00,13,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,4,0,0,0,0,2,0,315027,0,3,0,0.0,0,-90313,15405,105718,75,True,0
Calvin Ramsay,DEF,Brighton,1.0,0,0,4,0,0.8,298,0.00,0.00,0.00,0.84,14,0,0,0.4,3.6,2023-08-19T14:00:00Z,14,3,0,0,0,0,2,0,28148,0,1,3,0.0,1,-2163,1403,3566,45,True,0
Manuel Lanzini,MID,Man City,0.5,0,0,0,0,0.0,460,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,17,0,0,0,0,2,0,13091,0,1,2,0.0,0,-815,352,1167,40,True,0
Chris Richards,DEF,Southampton,0.0,0,0,0,0,0.0,530,0.00,0.00,0.00,0.00,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,7,0,0,0,0,2,0,79839,0,1,3,0.0,0,-11945,1715,13660,45,True,0
Fraser Forster,GK,Crystal Palace,0.0,0,0,0,0,0.0,426,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,13,0,0,0,0,2,0,4618,0,0,1,0.0,0,-3395,0,3395,60,False,0
Giulian Biancone,DEF,West Ham,0.5,0,0,0,0,0.0,399,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,18,0,0,0,0,2,0,14394,0,0,2,0.0,0,-1342,998,2340,45,False,0
Bryan Gil Salvatierra,MID,Wolves,0.0,0,0,0,0,0.0,554,0.00,0.00,0.00,0.00,20,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,5,0,0,0,0,2,0,8549,0,4,1,0.0,0,-959,628,1587,55,True,0
Rhys Williams,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,14,0,0,0,0,2,0,324113,0,0,2,0.0,0,-47492,298,47790,40,True,0
Lewis Hall,MID,Leicester,2.1,0,0,0,0,0.0,661,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2023-08-20T13:00:00Z,0,2,0,0,0,0,2,0,876,0,0,4,0.0,0,321,404,83,55,False,0
Granit Xhaka,MID,Everton,0.0,0,0,0,0,0.0,3,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,8,0,0,0,0,2,0,7526,0,1,0,0.0,0,-3499,123,3622,45,False,0
Declan Rice,MID,Man City,2.0,0,0,5,0,15.8,467,0.07,0.09,0.02,0.51,17,1,0,4.5,23.4,2023-08-18T18:45:00Z,90,17,0,0,0,0,2,0,25574,1,1,2,6.0,2,-235,1754,1989,45,True,0
Loïc Mbe Soh,DEF,West Ham,0.5,0,0,0,0,0.0,393,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,18,0,0,0,0,2,0,7511,0,0,2,0.0,0,-755,205,960,40,False,0
Divin Mubama,FWD,West Ham,1.5,0,0,0,0,0.0,669,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,18,0,0,0,0,2,0,0,0,0,2,0.0,0,0,0,0,40,False,0
Alfie Devine,MID,Man City,0.0,0,0,0,0,0.0,452,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,17,0,0,0,0,2,0,614,0,1,2,0.0,0,-230,0,230,45,True,0
Timo Werner,FWD,Fulham,0.0,0,0,0,0,0.0,137,0.00,0.00,0.00,0.00,20,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,20,0,0,0,0,2,0,184,0,4,1,0.0,0,-61,0,61,45,False,0
