total_points,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,transfers_in,transfers_out,name,element,team,position,value,selected,was_home,xP,round,GW
5.0,0.0,0.12,90.0,0.5,0.88,0.0,0.0,0.0,0.0,0.25,0.0,0.12,0.0,24.72,7.19,8.38,4.04,1.0,1.62,8.62,3.88,10.25,161640.25,42510.25,Jan Paul van Hecke,0,Brighton,DEF,47,10.7,0.5,0.0,37,37
2.62,0.12,0.0,61.38,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67,15.75,16.12,4.05,0.75,0.75,1.0,1.62,3.38,34418.0,180823.75,Bryan Mbeumo,0,Man Utd,MID,83,15.0,0.5,0.0,37,37
4.38,0.12,0.25,68.12,0.25,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,20.65,24.27,10.62,5.57,0.75,2.25,1.38,4.12,7.75,18125.75,16843.12,Enzo Le Fée,0,Sunderland,MID,48,1.6,0.5,0.0,37,37
2.88,0.12,0.0,71.38,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,14.58,8.96,6.75,3.02,0.75,1.38,2.5,1.75,5.62,7733.38,35353.88,Ryan Gravenberch,0,Liverpool,MID,54,3.7,0.5,0.0,37,37
2.12,1.12,0.0,39.88,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.12,17.12,90.62,12.39,0.62,0.0,0.0,0.0,6.75,340594.12,377175.38,Matheus Nunes,0,Man Utd,MID,81,8.7,0.5,0.0,37,37
4.12,0.0,0.0,90.0,0.38,1.38,0.0,0.0,0.0,3.38,0.0,0.0,0.38,0.0,26.92,0.38,0.0,2.74,1.0,0.0,1.25,10.0,0.0,56485.25,46253.38,Caoimhín Kelleher,0,Brentford,GK,48,12.0,0.5,0.0,37,37
4.0,0.5,0.0,90.0,0.5,0.62,0.0,0.0,0.12,0.0,0.25,0.0,0.5,0.0,23.05,4.61,35.62,6.34,1.0,0.0,2.88,1.75,4.62,169116.0,108224.38,Dominic Calvert-Lewin,0,Leeds,FWD,58,13.7,0.5,0.0,37,37
5.12,0.0,0.0,78.75,0.62,0.5,0.0,0.0,0.0,0.0,0.12,0.0,0.75,0.0,19.08,9.55,2.25,3.07,0.88,1.12,5.75,3.0,6.88,70441.0,34806.75,William Saliba,0,Arsenal,DEF,63,17.1,0.5,0.0,37,37
2.88,0.12,0.0,87.5,0.38,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.12,0.0,17.92,32.74,19.12,6.96,1.0,1.12,1.5,5.75,8.38,87807.38,44344.0,Marcus Tavernier,0,Bournemouth,MID,53,4.2,0.5,0.0,37,37
2.88,0.12,0.0,51.75,0.38,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,12.97,19.55,5.88,3.83,0.62,1.38,1.88,2.0,5.25,24413.75,30640.5,Anton Stach,0,Leeds,MID,48,1.7,0.5,0.0,37,37
